time,open,high,low,close,Volume
2025-05-31T00:00:00Z,103941.2,104130,103911,104106.3,11.666
2025-05-31T00:03:00Z,104114.5,104115,103922.4,104044.4,6.164
2025-05-31T00:06:00Z,104044.5,104129.5,104007.1,104035.4,3.059
2025-05-31T00:09:00Z,104035.5,104089.1,104016,104057.8,1.038
2025-05-31T00:12:00Z,104057.8,104084.4,103911,103950.1,4.209
2025-05-31T00:15:00Z,103950.2,103992,103706.8,103804.2,8.598
2025-05-31T00:18:00Z,103798.9,103859.8,103539.8,103625.6,12.21
2025-05-31T00:21:00Z,103635,103832.9,103635,103832.9,7.296
2025-05-31T00:24:00Z,103833.1,103907.2,103822.8,103822.8,2.884
2025-05-31T00:27:00Z,103822.8,103871.6,103740.4,103755.1,2.685
2025-05-31T00:30:00Z,103755.3,103934.1,103755.3,103934.1,6.487
2025-05-31T00:33:00Z,103934,103934,103865.3,103931.5,1.299
2025-05-31T00:36:00Z,103931.5,104078.8,103918.3,104078.8,1.623
2025-05-31T00:39:00Z,104078.8,104202.3,104078.8,104118.9,11.763
2025-05-31T00:42:00Z,104118.9,104191.4,104090.6,104122.9,3.55
2025-05-31T00:45:00Z,104123,104247.2,104088.9,104091.5,3.051
2025-05-31T00:48:00Z,104091.6,104138,103992.4,104006.2,4.324
2025-05-31T00:51:00Z,104006.4,104056.8,103999.1,104034,2.101
2025-05-31T00:54:00Z,104033.9,104045.3,103975.5,103990.2,0.879
2025-05-31T00:57:00Z,103990.2,103990.2,103892.8,103923.7,0.989
2025-05-31T01:00:00Z,103927.9,103937.6,103850,103880,3.841
2025-05-31T01:03:00Z,103890,103973.8,103741.5,103794.9,5.254
2025-05-31T01:06:00Z,103800.5,103836,103730.5,103783.3,1.673
2025-05-31T01:09:00Z,103790.3,103979.2,103790.3,103833.7,12.735
2025-05-31T01:12:00Z,103833.9,104057,103833.9,104021.8,15.211
2025-05-31T01:15:00Z,104021.8,104148.5,104021.8,104148.5,1.003
2025-05-31T01:18:00Z,104148.4,104148.6,104053,104053.1,1.425
2025-05-31T01:21:00Z,104053,104105,103909.8,103910.8,0.778
2025-05-31T01:24:00Z,103910.8,103910.8,103773.6,103909.7,2.704
2025-05-31T01:27:00Z,103910.7,103910.7,103814.5,103815,1.045
2025-05-31T01:30:00Z,103815.1,103910.8,103790.4,103910.8,1.564
2025-05-31T01:33:00Z,103914.3,103914.3,103420,103538.9,13.899
2025-05-31T01:36:00Z,103542.3,103822,103518.2,103804.9,6.392
2025-05-31T01:39:00Z,103806.9,103844,103769,103813.7,4.683
2025-05-31T01:42:00Z,103809.8,103809.8,103733.9,103765.3,1.979
2025-05-31T01:45:00Z,103765.2,103768.1,103536.2,103580.8,7.197
2025-05-31T01:48:00Z,103580.8,103630.3,103508.4,103630.2,1.742
2025-05-31T01:51:00Z,103630.4,103630.4,103454.1,103454.1,3.373
2025-05-31T01:54:00Z,103450.5,103559.6,103250,103384.9,39.591
2025-05-31T01:57:00Z,103341.9,103478.2,103332.4,103472.4,7.717
2025-05-31T02:00:00Z,103427.4,103511.3,103335.4,103402.4,2.919
2025-05-31T02:03:00Z,103402.3,103450.1,103249,103354.6,6.445
2025-05-31T02:06:00Z,103358.4,103588.2,103358.4,103588,4.863
2025-05-31T02:09:00Z,103587.9,103688,103530.8,103670.4,2.777
2025-05-31T02:12:00Z,103670.4,103691.5,103635.2,103691.3,0.991
2025-05-31T02:15:00Z,103689.9,103759.9,103645.5,103752.7,12.325
2025-05-31T02:18:00Z,103752.7,103806.8,103743.4,103787.6,1.856
2025-05-31T02:21:00Z,103787.6,103787.6,103704.5,103758.2,1.302
2025-05-31T02:24:00Z,103758.3,103795.7,103708.1,103795.3,3.964
2025-05-31T02:27:00Z,103789.5,103795.6,103636.8,103640.9,0.593
2025-05-31T02:30:00Z,103640.8,103640.8,103480,103480.1,1.762
2025-05-31T02:33:00Z,103480,103480,103360,103456.4,13.228
2025-05-31T02:36:00Z,103456.5,103500,103446.4,103477.7,1.185
2025-05-31T02:39:00Z,103477.7,103563.9,103477.7,103563.9,1.301
2025-05-31T02:42:00Z,103564,103587.1,103519.3,103519.3,0.989
2025-05-31T02:45:00Z,103519.2,103539.3,103375.9,103375.9,3.816
2025-05-31T02:48:00Z,103375.4,103382.3,103333,103333,3.398
2025-05-31T02:51:00Z,103333,103381.9,103141.3,103141.3,6.66
2025-05-31T02:54:00Z,103141.4,103278.3,103074.1,103250.4,6.679
2025-05-31T02:57:00Z,103243.8,103243.8,103138,103159.4,7.735
2025-05-31T03:00:00Z,103159.4,103310,103159.4,103263.8,6.937
2025-05-31T03:03:00Z,103263.9,103263.9,103133.1,103213.4,1.389
2025-05-31T03:06:00Z,103213.4,103230.5,103049.6,103195.4,6.254
2025-05-31T03:09:00Z,103195.2,103195.5,103076.8,103148.4,3.443
2025-05-31T03:12:00Z,103148.1,103220.7,103125.6,103212,1.951
2025-05-31T03:15:00Z,103213.4,103310.1,103109.6,103109.6,2.441
2025-05-31T03:18:00Z,103109.5,103299.3,103074.1,103289.5,2.047
2025-05-31T03:21:00Z,103288.9,103408,103265.9,103401.6,4.857
2025-05-31T03:24:00Z,103405.3,103429.5,103324.3,103381.9,5.124
2025-05-31T03:27:00Z,103381.8,103439.6,103356.5,103438.5,2.686
2025-05-31T03:30:00Z,103438.5,103526.6,103414.1,103414.2,3.986
2025-05-31T03:33:00Z,103414.2,103414.2,103255.4,103373.4,5.909
2025-05-31T03:36:00Z,103372.4,103463.1,103329.2,103463.1,1.031
